angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.17,,"[425, 88, 237, 324]",,0.0,,0.07,,0.0,,0.55,,0.21,,0.0,
0.18,0.01,"[428, 96, 236, 319]","[105, 486, 40, 46]",0.0,0.0,0.12,0.11,0.0,0.1,0.5,0.63,0.17,0.15,0.02,0.0
0.2,0.0,"[429, 98, 235, 317]","[105, 486, 41, 46]",0.0,0.0,0.09,0.09,0.0,0.15,0.57,0.61,0.12,0.14,0.02,0.0
0.15,0.01,"[425, 89, 238, 319]","[105, 486, 40, 46]",0.0,0.0,0.09,0.11,0.0,0.1,0.6,0.62,0.14,0.16,0.01,0.0
0.13,0.01,"[432, 95, 234, 312]","[106, 487, 38, 44]",0.0,0.0,0.09,0.13,0.0,0.06,0.36,0.58,0.42,0.22,0.0,0.0
0.05,0.0,"[414, 84, 239, 316]","[106, 487, 40, 45]",0.0,0.0,0.07,0.08,0.0,0.12,0.77,0.63,0.1,0.17,0.01,0.0
0.05,0.0,"[415, 85, 238, 315]","[106, 487, 40, 45]",0.0,0.0,0.09,0.07,0.0,0.12,0.74,0.64,0.12,0.16,0.01,0.0
0.26,,"[416, 72, 176, 229]",,0.0,,0.05,,0.0,,0.33,,0.35,,0.01,
0.33,,"[413, 72, 176, 225]",,0.0,,0.15,,0.0,,0.26,,0.25,,0.01,
0.21,,"[410, 72, 176, 226]",,0.0,,0.08,,0.0,,0.47,,0.23,,0.01,
0.25,,"[409, 71, 178, 227]",,0.0,,0.12,,0.0,,0.37,,0.26,,0.01,
0.23,,"[404, 72, 179, 230]",,0.0,,0.21,,0.0,,0.18,,0.38,,0.0,
0.22,,"[404, 73, 180, 229]",,0.0,,0.13,,0.0,,0.27,,0.37,,0.0,
0.15,,"[410, 73, 178, 233]",,0.0,,0.09,,0.0,,0.36,,0.39,,0.01,
0.2,,"[410, 73, 178, 232]",,0.0,,0.16,,0.0,,0.24,,0.39,,0.01,
0.23,,"[407, 71, 181, 237]",,0.0,,0.15,,0.0,,0.16,,0.46,,0.0,
0.24,,"[407, 71, 181, 237]",,0.0,,0.15,,0.0,,0.16,,0.45,,0.0,
